,id,dist,task
454,39052,17.167819004857265,28
455,39055,17.16555185480837,29
456,39056,17.16040849253786,29
457,39058,17.156387423043096,29
458,39059,17.15413347981324,29
459,39060,17.15165104700542,29
460,39061,17.1488197621226,29
461,39063,17.14657426539158,29
462,39066,17.144331969010377,29
463,39068,17.14209286614202,29
464,39074,17.13985694996898,29
465,39075,17.137327508368067,29
466,39077,17.135097201082747,29
467,39078,17.132631770762153,29
468,39079,17.128667431568594,29
469,39080,17.126446822450315,29
470,39082,17.124229363304053,29
471,39084,17.12201504743212,29
472,39086,17.119747212435986,29
473,39088,17.117217978262055,29
474,39091,17.1132792310831,29
475,39095,17.10655774821362,30
476,39096,17.101445865981432,30
477,39097,17.097265289517697,30
478,39098,17.09164454556946,30
479,39099,17.085048060449765,30
480,39100,17.078736186041485,30
481,39101,17.072028714331978,30
482,39103,17.06794152551516,30
483,39104,17.064617844694382,30
484,39106,17.051300681736635,30
485,39107,17.04969238897794,30
486,39109,17.045624177771415,30
487,39112,17.040565793120713,30
488,39113,17.031551990291696,30
489,39116,17.0264197376751,30
490,39118,17.02448455904628,30
491,39119,17.02156351037204,30
492,39122,17.016110809632682,30
493,39125,17.00746573396776,30
494,39129,17.005880161770968,30
495,39133,17.01340563337852,31
496,39134,17.008496477502035,31
497,39135,17.007490007428107,31
498,39136,17.002676985872935,31
499,39137,16.997863643987746,31
500,39140,16.996868742998775,31
501,39147,16.99419850289634,31
502,39151,16.99320794608642,31
503,39154,16.989284802380762,31
504,39158,16.988273174336463,31
505,39159,16.985770069654542,31
506,39160,16.983251127581568,31
507,39164,16.976785635892707,31
508,39165,16.974373376395423,31
509,39166,16.9716900024564,31
510,39167,16.970723326671575,31
511,39169,16.969758276405674,31
512,39170,16.96735923231156,31
513,39172,16.962119355967797,31
514,39173,16.966295167609925,32
515,39174,16.96380877811127,32
516,39175,16.956152770418754,32
517,39176,16.94969949786223,32
518,39177,16.944270810787412,32
519,39178,16.915106042072257,32
520,39180,16.904914961455496,32
521,39183,16.89845349783661,32
522,39187,16.895408598845748,32
523,39196,16.893160131778842,32
524,39197,16.887391263600037,32
525,39199,16.877398512221042,32
526,39201,16.872196985777965,32
527,39202,16.861020427198955,32
528,39206,16.857476892838687,32
529,39207,16.838484605313173,32
530,39208,16.850365455219105,32
531,39209,16.849757089784323,32
532,39210,16.844649273026427,32
533,39212,16.84227131984594,32
534,39213,16.838426263591625,33
